zip_code,time_of_day,foot_traffic_score
91344,morning,72.0
91344,afternoon,40.9
91344,evening,53.5
91345,morning,72.7
91345,afternoon,61.8
91345,evening,46.8
91350,morning,93.0
91350,afternoon,45.5
91350,evening,41.7
91351,morning,81.9
91351,afternoon,54.6
91351,evening,43.2
91352,morning,52.8
91352,afternoon,60.6
91352,evening,37.5
91354,morning,91.5
91354,afternoon,50.6
91354,evening,30.1
91355,morning,67.3
91355,afternoon,56.3
91355,evening,52.7
91356,morning,74.5
91356,afternoon,43.6
91356,evening,48.7
91361,morning,93.1
91361,afternoon,40.4
91361,evening,30.9
91362,morning,91.0
91362,afternoon,61.2
91362,evening,40.3
91364,morning,79.5
91364,afternoon,51.7
91364,evening,30.1
91367,morning,72.9
91367,afternoon,67.0
91367,evening,48.8
91371,morning,25.0
91371,afternoon,64.8
91371,evening,37.2
91381,morning,83.7
91381,afternoon,69.7
91381,evening,47.9
91384,morning,92.0
91384,afternoon,37.0
91384,evening,31.0
91387,morning,76.3
91387,afternoon,43.6
91387,evening,31.4
91390,morning,95.0
91390,afternoon,53.5
91390,evening,41.9
91401,morning,67.0
91401,afternoon,63.3
91401,evening,45.1
91402,morning,51.3
91402,afternoon,34.4
91402,evening,46.1
91403,morning,75.9
91403,afternoon,48.3
91403,evening,54.7
91405,morning,53.2
91405,afternoon,66.6
91405,evening,35.1
91406,morning,52.0
91406,afternoon,48.1
91406,evening,50.6
91411,morning,53.0
91411,afternoon,49.5
91411,evening,41.3
91423,morning,76.4
91423,afternoon,44.5
91423,evening,35.6
91436,morning,98.7
91436,afternoon,36.6
91436,evening,44.1
91501,morning,53.4
91501,afternoon,41.7
91501,evening,51.8
91502,morning,52.7
91502,afternoon,38.8
91502,evening,45.0
91504,morning,73.7
91504,afternoon,63.0
91504,evening,45.4
91505,morning,70.3
91505,afternoon,42.5
91505,evening,47.4
91506,morning,83.3
91506,afternoon,40.1
91506,evening,36.3
91601,morning,65.2
91601,afternoon,33.4
91601,evening,30.8
91602,morning,76.8
91602,afternoon,70.0
91602,evening,45.5
91604,morning,97.2
91604,afternoon,54.7
91604,evening,51.3
91605,morning,57.3
91605,afternoon,35.7
91605,evening,54.6
91606,morning,53.5
91606,afternoon,59.6
91606,evening,46.7
91607,morning,72.2
91607,afternoon,39.6
91607,evening,34.3
91608,morning,23.4
91608,afternoon,55.2
91608,evening,38.6
91702,morning,73.6
91702,afternoon,31.0
91702,evening,36.7
91706,morning,67.1
91706,afternoon,44.9
91706,evening,34.9
91709,morning,83.6
91709,afternoon,53.1
91709,evening,36.7
91711,morning,85.2
91711,afternoon,69.7
91711,evening,48.5
91722,morning,72.0
91722,afternoon,32.6
91722,evening,46.8
91723,morning,57.6
91723,afternoon,37.5
91723,evening,55.0
91724,morning,77.1
91724,afternoon,66.2
91724,evening,39.5
91731,morning,50.6
91731,afternoon,69.3
91731,evening,36.6
91732,morning,47.8
91732,afternoon,35.4
91732,evening,36.7
91733,morning,44.7
91733,afternoon,61.6
91733,evening,32.1
91740,morning,71.0
91740,afternoon,50.9
91740,evening,53.2
91741,morning,93.5
91741,afternoon,43.2
91741,evening,44.4
91744,morning,68.5
91744,afternoon,40.0
91744,evening,48.3
91745,morning,81.7
91745,afternoon,42.4
91745,evening,29.9
91746,morning,59.9
91746,afternoon,52.6
91746,evening,38.2
91748,morning,63.5
91748,afternoon,53.4
91748,evening,36.1
91750,morning,63.6
91750,afternoon,33.3
91750,evening,48.6
91754,morning,68.4
91754,afternoon,39.8
91754,evening,49.7
91755,morning,51.1
91755,afternoon,37.1
91755,evening,52.2
91759,morning,84.7
91759,afternoon,51.1
91759,evening,39.0
91765,morning,70.0
91765,afternoon,54.5
91765,evening,42.3
91766,morning,63.2
91766,afternoon,36.0
91766,evening,40.1
91767,morning,62.9
91767,afternoon,55.6
91767,evening,52.7
91768,morning,61.9
91768,afternoon,43.8
91768,evening,38.3
91770,morning,63.2
91770,afternoon,63.8
91770,evening,42.0
91773,morning,63.4
91773,afternoon,69.1
91773,evening,51.4
91775,morning,72.9
91775,afternoon,69.5
91775,evening,30.4
91776,morning,68.1
91776,afternoon,43.6
91776,evening,46.9
91780,morning,69.4
91780,afternoon,56.5
91780,evening,44.4
91789,morning,85.2
91789,afternoon,47.5
91789,evening,34.2
91790,morning,72.8
91790,afternoon,42.1
91790,evening,48.5
91791,morning,70.5
91791,afternoon,55.2
91791,evening,49.5
91792,morning,66.5
91792,afternoon,30.3
91792,evening,46.2
91801,morning,69.4
91801,afternoon,30.0
91801,evening,51.5
91803,morning,62.3
91803,afternoon,58.4
91803,evening,53.2
92397,morning,64.0
92397,afternoon,43.2
92397,evening,29.0
93243,morning,40.7
93243,afternoon,53.9
93243,evening,45.3
93510,morning,76.3
93510,afternoon,64.7
93510,evening,33.4
93532,morning,75.6
93532,afternoon,59.9
93532,evening,49.0
93534,morning,53.8
93534,afternoon,54.0
93534,evening,32.9
93535,morning,54.5
93535,afternoon,64.8
93535,evening,53.0
93536,morning,76.7
93536,afternoon,56.0
93536,evening,29.3
93543,morning,46.9
93543,afternoon,44.1
93543,evening,38.0
93544,morning,63.4
93544,afternoon,63.6
93544,evening,29.6
93550,morning,60.5
93550,afternoon,34.0
93550,evening,26.6
93551,morning,80.2
93551,afternoon,51.5
93551,evening,41.2
93552,morning,55.0
93552,afternoon,45.6
93552,evening,26.0
93553,morning,61.4
93553,afternoon,31.2
93553,evening,35.6
93560,morning,48.5
93560,afternoon,35.4
93560,evening,37.5
93563,morning,10.4
93563,afternoon,30.4
93563,evening,44.4
93591,morning,54.5
93591,afternoon,33.7
93591,evening,39.7
